ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Number_Object_Number
1,25,596,404.0,105.0,1.1045759107342072,0.5691662637914302,1.0,0.62277951933124343,0.66044775717658044,31.650454639824886,32.756678708318397,10.63014581273465,4.1221573178165984,3.6055512754639891,27.039572140447444,26.023714489945071,30.893282550147795,106.49000000000005,0.86251808972503619,404.89597315436242,106.22818791946308,25
1,26,524,793.0,111.0,1.0430896477889102,0.1370379824058012,1.0,0.64532019704433496,0.71592529720428955,26.534325202876175,28.284271247461902,10.816653826391969,4.1492141272515415,3.6055512754639891,25.379162926070382,26.283994901259831,31.703603881783359,95.904000000000039,0.90972222222222243,792.71564885496184,109.77099236641222,26
1,27,702,803.0,128.0,1.6221389684090817,0.92173228566932208,1.0,0.45348837209302323,0.51072179977937304,50.195154339467244,46.097722286464439,8.4852813742385695,3.7274487967281544,3.6055512754639891,19.62296546092519,19.467023931687184,-42.011219621698046,131.42600000000004,0.85401459854014594,810.24928774928776,119.58404558404558,27
1,28,381,843.0,121.0,1.1296942113514163,0.73347645382391247,1.0,0.66260869565217395,0.75578105957840902,27.420942275386157,27.202941017470888,9.0,3.5605761199980326,3.1622776601683795,17.861001780846017,18.638421955537247,-58.387043645956318,79.592000000000027,0.95131086142322097,844.23359580052488,121.49081364829397,28
1,29,226,396.0,122.0,1.0245986414001593,0.55834851789747963,1.0,0.73856209150326801,0.82438653130139528,18.745105731277693,18.788294228055936,7.6157731058639087,3.0756306695135383,2.8284271247461903,14.849242404917497,15.55106141911449,62.083539002756901,58.694000000000017,0.93195876288659785,396.08849557522126,121.41150442477876,29
1,30,450,826.0,125.0,1.3749829683295656,0.89179677791064704,1.0,0.5859375,0.67557741533923998,36.188874944756314,35.355339059327378,8.4852813742385695,3.4772600793181683,3.1622776601683795,16.263455967290593,16.37315673584499,-52.123611113464612,91.490000000000038,0.95137420718816057,822.35777777777776,128.88222222222223,30
1,31,437,860.0,125.0,1.2659788114607236,0.84895530592257695,1.0,0.52524038461538458,0.6376415798911651,33.215541900154079,31.016124838541646,8.0622577482985491,3.4860084738345543,3.1622776601683795,17.086210219194616,17.553239795417916,-59.949421778698472,92.802000000000049,0.85434995112414458,857.5034324942792,128.96567505720824,31
1,32,287,375.0,126.0,1.0159463281598258,0.368462060397029,1.0,0.71750000000000003,0.82350167108136063,20.005473243047103,21.023796041628639,8.9442719099991592,3.4109547269011911,3.0,17.677669529663689,18.597943886145455,-46.998578361188372,66.178000000000011,0.92730210016155068,374.90243902439022,125.81533101045297,32
1,33,213,780.0,130.0,1.0119172037705253,0.47423596880161795,1.0,0.83529411764705885,0.93683163583896667,17.640804666865467,17.464249196572979,7.6157731058639087,3.0505728951208164,2.8284271247461903,14.0,15.53092521468484,89.425009883997049,53.452000000000012,0.9508928571428571,780.29107981220659,130.07511737089203,33
1,34,343,358.0,131.0,1.0873535334538822,0.62990226333262012,1.0,0.6483931947069943,0.71911384475697371,24.383582569833212,23.086792761230392,8.0622577482985491,3.3496411474162247,3.0,19.798989873223331,18.938104598256412,59.323768798073189,77.42000000000003,0.8897535667963683,359.0932944606414,132.45481049562682,34
