,index,standard deviation,mean gap,nb non zero gap,max gap,solving time,objective value
128,28,0.00375,0.002319563547686613,48,0.01187889685266337,340.1333689999883,4.164084384829009e-05
129,29,0.00375,0.0018539236809771206,48,0.007684787444305563,244.89878200000385,0.00014819032226962397
130,30,0.00375,0.0025725708996132924,48,0.011530883801971342,203.7436519999901,0.00021853981591386188
131,31,0.00375,0.005267953756170572,48,0.017750263862076114,3107.3584890000056,6.9124307173792e-05
132,32,0.00375,0.0014450612746387686,48,0.004404736823383319,214.93871800000488,0.0001398484165068646
133,33,0.00375,0.0008550200604707808,48,0.003183620467530403,90.87483200000133,0.00017059513004610244
134,34,0.00375,0.0025486074731837075,48,0.009149529393945866,435.82970100000966,8.865114461387711e-05
135,35,0.00375,0.0018052641966488368,48,0.007102812771309176,923.4219409999932,0.00012361972365129614
136,36,0.00375,0.0025626194577335333,48,0.009265496504491502,328.3409790000005,7.512628579660859e-05
137,37,0.00375,0.0023398427918861794,48,0.006532609249045654,671.3318319999962,6.194527088923065e-05
138,38,0.00375,0.001852693278269365,48,0.007758673301209426,675.3502969999972,0.00010248612506040186
139,39,0.00375,0.002016682424295049,48,0.006904359592958244,202.69225399999414,0.00026510843094807476
140,40,0.00375,0.005002369245371497,48,0.020065863880446434,1884.6720280000009,0.00011672942562833626
141,41,0.00375,0.00601753718223251,48,0.02469434515362328,3034.714070000002,0.00012812545781744542
142,42,0.00375,0.001985890711909072,48,0.006674762001540012,309.0082329999859,2.8281542170601436e-05
143,43,0.00375,0.0008395697195138823,48,0.003185413935353461,75.45155700002215,0.00020956359423286199
144,44,0.00375,0.0024694525684702587,48,0.00846124882691883,357.63963499999954,0.0001974966085257369
145,45,0.00375,0.0026469406653229326,48,0.010118465284855417,1025.206565999979,0.00018584852294617436
146,46,0.00375,0.0017083618456862463,48,0.006856171269728983,319.8147549999994,9.037918922140404e-05
147,47,0.00375,0.0012295928963790544,48,0.003739499142884895,88.69519800000126,0.0006489077321354993
148,48,0.00375,0.0011191399185448336,48,0.004325160707758638,76.57079999998678,0.00019654771767960752
149,49,0.00375,0.001664176665910175,48,0.005992696798328687,159.55908700000145,0.00011777723377064465
150,0,0.00375,0.0023917640530410306,48,0.008195444645687784,258.953077,0.00012422234012321383
151,1,0.00375,0.0013378970421860242,48,0.005068741131371811,162.99791,0.00010942979184167937
152,2,0.00375,0.0029039379692532394,48,0.009727879893097875,386.987348,3.757818030928328e-05
153,3,0.00375,0.0027097618355280064,48,0.010585994768497267,1504.449713,6.671753483153987e-05
154,4,0.00375,0.00437040790921518,48,0.018887626652923713,2869.0123909999998,3.944106182085115e-05
155,5,0.00375,0.001067729915531432,48,0.004281141686212981,95.75828300000012,0.00019890130783821117
